,연도,일시,측정소,PM2.5
0,4,01-03 00:00,공주,0.056609757
1,4,01-03 01:00,공주,0.05436657
2,4,01-03 02:00,공주,0.058217928
3,4,01-03 03:00,공주,0.05626524
4,4,01-03 04:00,공주,0.054251257
5,4,01-03 05:00,공주,0.05353282
6,4,01-03 06:00,공주,0.05942304
7,4,01-03 07:00,공주,0.07928164
8,4,01-03 08:00,공주,0.11424793
9,4,01-03 09:00,공주,0.1295512
10,4,01-03 10:00,공주,0.118029706
11,4,01-03 11:00,공주,0.108584285
12,4,01-03 12:00,공주,0.08075602
13,4,01-03 13:00,공주,0.06756987
14,4,01-03 14:00,공주,0.04854473
15,4,01-03 15:00,공주,0.05360716
16,4,01-03 16:00,공주,0.043974817
17,4,01-03 17:00,공주,0.035832822
18,4,01-03 18:00,공주,0.03974705
19,4,01-03 19:00,공주,0.049270164
20,4,01-03 20:00,공주,0.053196166
21,4,01-03 21:00,공주,0.05584006
22,4,01-03 22:00,공주,0.052840706
23,4,01-03 23:00,공주,0.054001667
24,4,01-04 00:00,공주,0.056609757
25,4,01-04 01:00,공주,0.05436657
26,4,01-04 02:00,공주,0.058217928
27,4,01-04 03:00,공주,0.05626524
28,4,01-04 04:00,공주,0.054251257
29,4,01-04 05:00,공주,0.05353282
30,4,01-04 06:00,공주,0.05942304
31,4,01-04 07:00,공주,0.07928164
32,4,01-04 08:00,공주,0.11424793
33,4,01-04 09:00,공주,0.1295512
34,4,01-04 10:00,공주,0.118029706
35,4,01-04 11:00,공주,0.108584285
36,4,01-04 12:00,공주,0.08075602
37,4,01-04 13:00,공주,0.06756987
38,4,01-04 14:00,공주,0.04854473
39,4,01-04 15:00,공주,0.05360716
40,4,01-04 16:00,공주,0.043974817
41,4,01-04 17:00,공주,0.035832822
42,4,01-04 18:00,공주,0.03974705
43,4,01-04 19:00,공주,0.049270164
44,4,01-04 20:00,공주,0.053196166
45,4,01-04 21:00,공주,0.05584006
46,4,01-04 22:00,공주,0.052840706
47,4,01-04 23:00,공주,0.054001667
48,4,01-05 00:00,공주,0.056609757
49,4,01-05 01:00,공주,0.05436657
50,4,01-05 02:00,공주,0.058217928
51,4,01-05 03:00,공주,0.05626524
52,4,01-05 04:00,공주,0.054251257
53,4,01-05 05:00,공주,0.05353282
54,4,01-05 06:00,공주,0.05942304
55,4,01-05 07:00,공주,0.07928164
56,4,01-05 08:00,공주,0.11424793
57,4,01-05 09:00,공주,0.1295512
58,4,01-05 10:00,공주,0.118029706
59,4,01-05 11:00,공주,0.108584285
60,4,01-05 12:00,공주,0.08075602
61,4,01-05 13:00,공주,0.06756987
62,4,01-05 14:00,공주,0.04854473
63,4,01-05 15:00,공주,0.05360716
64,4,01-05 16:00,공주,0.043974817
65,4,01-05 17:00,공주,0.035832822
66,4,01-05 18:00,공주,0.03974705
67,4,01-05 19:00,공주,0.049270164
68,4,01-05 20:00,공주,0.053196166
69,4,01-05 21:00,공주,0.05584006
70,4,01-05 22:00,공주,0.052840706
71,4,01-05 23:00,공주,0.054001667
72,4,01-08 00:00,공주,0.06286878
73,4,01-08 01:00,공주,0.061547644
74,4,01-08 02:00,공주,0.063021585
75,4,01-08 03:00,공주,0.059909545
76,4,01-08 04:00,공주,0.055451855
77,4,01-08 05:00,공주,0.05401357
78,4,01-08 06:00,공주,0.057854503
79,4,01-08 07:00,공주,0.071654275
80,4,01-08 08:00,공주,0.10227496
81,4,01-08 09:00,공주,0.1254018
82,4,01-08 10:00,공주,0.122068144
83,4,01-08 11:00,공주,0.10903841
84,4,01-08 12:00,공주,0.08580704
85,4,01-08 13:00,공주,0.074060686
86,4,01-08 14:00,공주,0.059003595
87,4,01-08 15:00,공주,0.055002876
88,4,01-08 16:00,공주,0.044913564
89,4,01-08 17:00,공주,0.04538799
90,4,01-08 18:00,공주,0.064601965
91,4,01-08 19:00,공주,0.063504785
92,4,01-08 20:00,공주,0.06376688
93,4,01-08 21:00,공주,0.060620803
94,4,01-08 22:00,공주,0.061751284
95,4,01-08 23:00,공주,0.06402375
96,4,01-09 00:00,공주,0.06286878
97,4,01-09 01:00,공주,0.061547644
98,4,01-09 02:00,공주,0.063021585
99,4,01-09 03:00,공주,0.059909545
100,4,01-09 04:00,공주,0.055451855
101,4,01-09 05:00,공주,0.05401357
102,4,01-09 06:00,공주,0.057854503
103,4,01-09 07:00,공주,0.071654275
104,4,01-09 08:00,공주,0.10227496
105,4,01-09 09:00,공주,0.1254018
106,4,01-09 10:00,공주,0.122068144
